rank,title,slug,subscribers,url,category,rpm,score
1,"Финансовые мошенничества",finansovye-moshennichestva,343000,https://dzen.ru/topic/finansovye-moshennichestva,Финансы,5,172
2,"Недвижимость в Сочи",nedvizhimost-v-sochi,131551,https://dzen.ru/topic/nedvizhimost-v-sochi,Недвижимость,5,172
3,"Кредиты",kredity,124214,https://dzen.ru/topic/kredity,Финансы,5,172
4,"Инновации в автопроме",innovatsii-v-avtoprome,116102,https://dzen.ru/topic/innovatsii-v-avtoprome,Авто,5,172
5,"Безопасность и правопорядок",bezopasnost-i-pravoporiadok,95179,https://dzen.ru/topic/bezopasnost-i-pravoporiadok,Право,5,170
6,"Рынок недвижимости Москвы",rynok-nedvizhimosti-moskvy,92890,https://dzen.ru/topic/rynok-nedvizhimosti-moskvy,Недвижимость,5,170
7,"Юридические аспекты недвижимости",yuridicheskie-aspekty-nedvizhimosti,90503,https://dzen.ru/topic/yuridicheskie-aspekty-nedvizhimosti,Недвижимость,5,170
8,"Инвестиции в криптовалюту",kriptovalyuta,70656,https://dzen.ru/topic/kriptovalyuta,Финансы,5,170
9,"Технологии в банкинге",tekhnologii-v-bankinge,66048,https://dzen.ru/topic/tekhnologii-v-bankinge,Финансы,5,170
10,"Технологии в финансах",tekhnologii-v-finansah,65024,https://dzen.ru/topic/tekhnologii-v-finansah,Финансы,5,170
11,"Авторемонт и обслуживание",avtoremont-i-obslujivanie,41139,https://dzen.ru/topic/avtoremont-i-obslujivanie,Авто,5,170
12,"Российские автомобили",rossiyskie-avtomobili,30720,https://dzen.ru/topic/rossiyskie-avtomobili,Авто,5,170
13,"Всё об автомобилях",avtomobili,4840000,https://dzen.ru/topic/avtomobili,Авто,5,156
14,"Бизнес и финансы",biznes-i-finansy,1133797,https://dzen.ru/topic/biznes-i-finansy,Финансы,5,156
15,"Школы",shkolnoe-obrazovanie,301483,https://dzen.ru/topic/shkolnoe-obrazovanie,Образование,4,154
16,"Карьера и трудоустройство",karera-i-trudoustrojstvo,266546,https://dzen.ru/topic/karera-i-trudoustrojstvo,Карьера,4,154
17,"Кето-диета",dieta-keto,233472,https://dzen.ru/topic/dieta-keto,Здоровье,4,154
18,"Здоровье спины и шеи",zdorovje-spiny-i-shei,195335,https://dzen.ru/topic/zdorovje-spiny-i-shei,Здоровье,4,154
19,"Болезни сердца и сосудов (Кардиология)",kardiologija,191352,https://dzen.ru/topic/kardiologija,Здоровье,4,154
20,"Образование",obrazovanie,190213,https://dzen.ru/topic/obrazovanie,Образование,4,154
21,"Воспитание детей",vospitanie-detey,183624,https://dzen.ru/topic/vospitanie-detey,Здоровье,4,154
22,"Ремонт ванной комнаты",remont-vannoj-komnaty,182434,https://dzen.ru/topic/remont-vannoj-komnaty,Ремонт и дом,4,154
23,"Здоровье мозга",zdorovje-mozga,132384,https://dzen.ru/topic/zdorovje-mozga,Здоровье,4,154
24,"Маркетинг и продажи",marketing-i-prodazhi,129087,https://dzen.ru/topic/marketing-i-prodazhi,Карьера,4,154
25,"День здоровья",den-zdorovya,125678,https://dzen.ru/topic/den-zdorovya,Здоровье,4,154
26,"Противопожарные и спасательные работы",pozharnaja-bezopasnost,113050,https://dzen.ru/topic/pozharnaja-bezopasnost,Карьера,4,154
27,"Японские автомобили",yaponskie-avtomobili,29184,https://dzen.ru/topic/yaponskie-avtomobili,Авто,5,154
28,"Ремонт и отделка квартиры и дома",remont-i-otdelka-kvartiry-i-doma,24297,https://dzen.ru/topic/remont-i-otdelka-kvartiry-i-doma,Недвижимость,5,154
29,"Обслуживание и ремонт автомобилей",remont-i-obsluzhivanie-avto,21938,https://dzen.ru/topic/remont-i-obsluzhivanie-avto,Авто,5,154
30,"Изменения в законодательстве",izmeneniya-v-zakonodatelstve,19424,https://dzen.ru/topic/izmeneniya-v-zakonodatelstve,Право,5,154
31,"Экономные рецепты",ehkonomnye-recepty,18600,https://dzen.ru/topic/ehkonomnye-recepty,Финансы,5,154
32,"Европейские автомобили",evropeyskie-avtomobili,18432,https://dzen.ru/topic/evropeyskie-avtomobili,Авто,5,154
33,"Инвестиции",investitsii,16513,https://dzen.ru/topic/investitsii,Финансы,5,154
34,"Инвестиционный фонд недвижимости REIT",investicionnyj-fond-nedvizhimosti-reit,15000,https://dzen.ru/topic/investicionnyj-fond-nedvizhimosti-reit,Финансы,5,154
35,"Депозиты",depozity,14567,https://dzen.ru/topic/depozity,Финансы,5,154
36,"Автокредиты",avtokredity,14567,https://dzen.ru/topic/avtokredity,Финансы,5,154
37,"Страхование от несчастных случаев",strakhovanie-ot-neschastnykh-sluchaev,14567,https://dzen.ru/topic/strakhovanie-ot-neschastnykh-sluchaev,Финансы,5,154
38,"Инвестиционные фонды",investicionnye-fondy,11234,https://dzen.ru/topic/investicionnye-fondy,Финансы,5,154
39,"Криптовалютные биржи",kriptovalyutnye-birzhi,11234,https://dzen.ru/topic/kriptovalyutnye-birzhi,Финансы,5,154
40,"Европейский банк реконструкции и развития (ЕБРР)",evropejskij-bank-rekonstrukcii-i-razvitiya,11234,https://dzen.ru/topic/evropejskij-bank-rekonstrukcii-i-razvitiya,Финансы,5,154
41,"Кредиты для бизнеса",kredity-dlya-biznesa,11234,https://dzen.ru/topic/kredity-dlya-biznesa,Финансы,5,154
42,"Премиальные банковские карты",premialnye-bankovskie-karty,11234,https://dzen.ru/topic/premialnye-bankovskie-karty,Финансы,5,154
43,"Правильное питание",pravilnoe-pitanie,87552,https://dzen.ru/topic/pravilnoe-pitanie,Здоровье,4,152
44,"Курск",kursk,59904,https://dzen.ru/topic/kursk,Образование,4,152
45,"Технологии в медицине",tekhnologii-v-medicine,56832,https://dzen.ru/topic/tekhnologii-v-medicine,Здоровье,4,152
46,"Работа с металлом",metalloobrabotka,55818,https://dzen.ru/topic/metalloobrabotka,Карьера,4,152
47,"Ремонт устройств",remont-ustroistv,50008,https://dzen.ru/topic/remont-ustroistv,Ремонт и дом,4,152
48,"Экономика",economy,10015013,https://dzen.ru/topic/economy,Финансы,5,148
49,"Авто",auto,5658485,https://dzen.ru/topic/auto,Авто,5,148
50,"Автомобили марки Aston Martin",aston-martin,9876,https://dzen.ru/topic/aston-martin,Авто,5,144
51,"Автомобили марки Opel",opel,9368,https://dzen.ru/topic/opel,Авто,5,144
52,"Кредиты наличными",kredity-nalichnymi,9321,https://dzen.ru/topic/kredity-nalichnymi,Финансы,5,144
53,"Страхование путешествий",strakhovanie-puteshestvij,9321,https://dzen.ru/topic/strakhovanie-puteshestvij,Финансы,5,144
54,"Инвестиции в драгоценные металлы",investicii-v-dragocennye-metally,8765,https://dzen.ru/topic/investicii-v-dragocennye-metally,Финансы,5,144
55,"Кредитные карты",kreditnye-karty,8765,https://dzen.ru/topic/kreditnye-karty,Финансы,5,144
56,"Автомобили марки Renault",renault,8742,https://dzen.ru/topic/renault,Авто,5,144
57,"Автомобили марки Chrysler",chrysler,8465,https://dzen.ru/topic/chrysler,Авто,5,144
58,"Защита финансов от мошенников",zashchita-finansov-ot-moshennikov,8455,https://dzen.ru/topic/zashchita-finansov-ot-moshennikov,Финансы,5,144
59,"Страхование",strakhovanie,8392,https://dzen.ru/topic/strakhovanie,Финансы,5,144
60,"Здоровье и медицина",zdorove,3970600,https://dzen.ru/topic/zdorove,Здоровье,4,138
61,"Медицина",zdrave-i-meditsina,1973664,https://dzen.ru/topic/zdrave-i-meditsina,Здоровье,4,138
62,"Дизайн интерьера и ремонт",dizajn-interera-i-remont,1336755,https://dzen.ru/topic/dizajn-interera-i-remont,Ремонт и дом,4,138
63,"Психология отношений и семьи",otnosheniya-i-psihologiya,620137,https://dzen.ru/topic/otnosheniya-i-psihologiya,Психология,3,136
64,"Мужская мода",mugskaja-moda,619520,https://dzen.ru/topic/mugskaja-moda,Красота,3,136
65,"Путешествия по России",rossiya,382464,https://dzen.ru/topic/rossiya,Путешествия,3,136
66,"День матери",spasibo-mamy,349568,https://dzen.ru/topic/spasibo-mamy,Семья,3,136
67,"Plus Size Стиль",plus-saiz-stil,254464,https://dzen.ru/topic/plus-saiz-stil,Красота,3,136
68,"Развитие детей",vospitanie-i-razvitie-detej,250586,https://dzen.ru/topic/vospitanie-i-razvitie-detej,Семья,3,136
69,"Обзоры модных показов",obzory-modnyh-pokazov,184832,https://dzen.ru/topic/obzory-modnyh-pokazov,Красота,3,136
70,"Как создать модный образ",kak-sozdat-modnyj-obraz,172544,https://dzen.ru/topic/kak-sozdat-modnyj-obraz,Красота,3,136
71,"Технологии будущего",tekhnologii-budushchego,157184,https://dzen.ru/topic/tekhnologii-budushchego,Технологии,3,136
72,"Мировая мода",mirovaya-moda,147490,https://dzen.ru/topic/mirovaya-moda,Красота,3,136
73,"Детские сады",detskie-sady,138677,https://dzen.ru/topic/detskie-sady,Семья,3,136
74,"Обзоры модных коллекций и дизайнеров",obzory-modnyh-kollekcij-i-dizajnerov,105472,https://dzen.ru/topic/obzory-modnyh-kollekcij-i-dizajnerov,Красота,3,136
75,"Психология рекламы и продаж",psikhologiya-reklamy-i-prodazh,12453,https://dzen.ru/topic/psikhologiya-reklamy-i-prodazh,Карьера,4,136
76,"Производственные технологии",proizvodstvennye-texnologii,99008,https://dzen.ru/topic/proizvodstvennye-texnologii,Технологии,3,134
77,"Новинки в мире моды и стиля",novinki-v-mire-mody-i-stila,82944,https://dzen.ru/topic/novinki-v-mire-mody-i-stila,Красота,3,134
78,"Инновационные технологии будущего",innovacionnye-texnologii-budushego,74235,https://dzen.ru/topic/innovacionnye-texnologii-budushego,Технологии,3,134
79,"Британская королевская семья",britanskaya-monarhiya,71043,https://dzen.ru/topic/britanskaya-monarhiya,Семья,3,134
80,"Интересные коллаборации в моде",interesnye-kollaboracii-v-mode,67584,https://dzen.ru/topic/interesnye-kollaboracii-v-mode,Красота,3,134
